date,account_value,window_id,compounded_account_value
2022-12-16,972519.5998058246,183,2122177.2221530736
2022-12-19,965704.095491402,183,2107304.8144232538
2022-12-20,966179.334516518,183,2108341.854123411
2022-12-21,982398.1696376728,183,2143733.6780731217
2022-12-22,972393.5956287312,183,2121902.2629701667
2022-12-23,976242.0143566058,183,2130300.0644820677
2022-12-27,976392.0764102862,183,2130627.52140149
2022-12-28,966540.456239693,183,2109129.873506773
2022-12-29,976622.4807681964,183,2131130.296749503
2022-12-30,971947.7855167316,183,2120929.441378417
2023-01-03,1000000.0,184,2120929.441378417
2023-01-04,999486.2363826752,184,2119839.7849965235
2023-01-05,991262.905570984,184,2102398.6805718136
2023-01-06,1010257.4769138336,184,2142684.8261592262
2023-01-09,1006758.6744741364,184,2135264.1130553056
2023-01-10,1012192.7501690828,184,2146789.4041833966
2023-01-11,1022676.982768963,184,2169025.7217747415
2023-01-12,1025759.2943086892,184,2175563.0870668474
2023-01-13,1028614.983080494,184,2181619.801458382
2023-01-17,1012798.2682769052,184,2148073.6653655646
2023-01-18,994383.892636036,184,2109018.0739242435
2023-01-19,986250.7293364756,184,2091768.2084306676
2023-01-20,993165.6087310069,184,2106434.17972211
2023-01-23,997858.2573058358,184,2116386.9562425073
2023-01-24,999737.2742469064,184,2120372.2185936724
2023-01-25,998589.2859732858,184,2117937.4164657933
2023-01-26,1002294.5849311104,184,2125796.0941145523
2023-01-27,998823.778259968,184,2118434.758060394
2023-01-30,994050.349377369,184,2108310.6522069634
2023-01-31,1009041.6241576424,184,2140106.088252239
2023-02-01,1000000.0,185,2140106.088252239
2023-02-02,998691.1320804596,185,2137304.972048912
2023-02-03,993461.9584228516,185,2126113.9856677377
2023-02-06,994019.3289604684,185,2127306.8177487035
2023-02-07,1000206.7648544807,185,2140548.58697615
2023-02-08,993698.3410759468,185,2126619.8696227837
2023-02-09,986006.4937515756,185,2110158.50033399
2023-02-10,990423.64830785,185,2119611.679692624
2023-02-13,1002618.2174416084,185,2145709.3513393933
2023-02-14,996854.8774490852,185,2133375.192332727
2023-02-15,999402.5281143684,185,2138827.435032239
2023-02-16,987257.4929047128,185,2112835.7712380174
2023-02-17,991396.2724304696,185,2121693.1984990234
2023-02-21,968665.3575439948,185,2073046.629158935
2023-02-22,966123.1710281868,185,2067606.0803189815
2023-02-23,969555.7048149604,185,2074952.0667741871
2023-02-24,957695.8943100472,185,2049570.8141071047
2023-02-27,961096.1137772102,185,2056847.6444901743
2023-02-28,953539.6486549872,185,2040676.007476439
2023-03-01,954993.3428726692,185,2043787.0673221573
2023-03-02,1000000.0,186,2043787.0673221573
2023-03-03,1003206.8277690886,186,2050341.1404437502
2023-03-06,1003614.0170886992,186,2051173.3487091218
2023-03-07,984302.2074314116,186,2011704.1218849705
2023-03-08,983215.9070913655,186,2009483.9552987567
2023-03-09,967470.4412367208,186,1977303.5758160711
2023-03-10,956704.7920057636,186,1955300.881146514
2023-03-13,955194.605032192,186,1952214.3805406902
2023-03-14,962632.8252622944,186,1967416.5188508674
2023-03-15,957969.2241651876,186,1957885.111241451
2023-03-16,969472.0268385274,186,1981394.3905831818
2023-03-17,959003.3434049948,186,1959998.630769838
2023-03-20,969238.1725675924,186,1980916.4422486066
2023-03-21,977485.2583181722,186,1997771.7294487385
2023-03-22,962250.9918157918,186,1966636.1325910343
2023-03-23,965044.1015303,186,1972344.654103158
2023-03-24,968957.0001814228,186,1980341.7857620653
2023-03-27,972152.005045162,186,1986871.695382607
