date,close,account_value,action,turnover,trade_cost,selected_checkpoint,warm_start_from,agent_family
2021-04-17 00:33:46.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:47.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:48.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:49.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:50.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:51.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:52.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:53.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:54.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:55.281751+00:00,61313.825,99784.61083492322,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:56.281751+00:00,61313.00500000001,99783.27582500306,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:57.281751+00:00,61300.00500000001,99762.11909636343,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:58.281751+00:00,61300.00500000001,99762.11909636343,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:33:59.281751+00:00,61290.935,99747.35770096042,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:00.281751+00:00,61290.935,99747.35770096042,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:01.281751+00:00,61290.935,99747.35770096042,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:02.281751+00:00,61309.065,99776.86777738624,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:03.281751+00:00,61313.815,99784.59812054303,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:04.281751+00:00,61325.4,99803.4471891778,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:05.281751+00:00,61314.805,99786.20648963733,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:06.281751+00:00,61314.31,99785.39912649513,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:07.281751+00:00,61313.815,99784.59812054303,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:08.281751+00:00,61313.815,99784.59812054303,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:09.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:10.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:11.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:12.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:13.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:14.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:15.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:16.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:17.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:18.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
2021-04-17 00:34:19.281751+00:00,61305.61500000001,99771.24802134135,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn
